model,property,algorithm,control points,solver,budget,exploration ratio,seed,success,tries,min simulations,min time,max simulations,max time,avg simulations,avg time,best robustness
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,10,cmaes,100,,0,0,1,0,0,0,0,0,0,9.438314165534806
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,10,global_nelder_mead,100,,0,0,1,0,0,0,0,0,0,9.438314165534806
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,10 10 10 10 10,,100,0.25,0,0,1,0,0,0,0,0,0,25.85476084724442

model,property,algorithm,control points,budget,seed,success,tries,min simulations,min time,max simulations,max time,avg simulations,avg time,best robustness
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",uniform random,4,100,0,22,50,2,0,82,14,42,7,-8.147884048248585
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",uniform random,4,100,0,45,50,1,0,94,17,31,5,-10.233572608844472
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))",uniform random,4,100,0,40,50,1,0,85,15,36,6,-5.241276323559681
automatic_transmission,"!□_[10.0, 30.0] ((50.0 <= speed) && (speed <= 60.0))",uniform random,4,100,0,8,50,7,1,96,17,40,6,-2.303264660367155
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))",uniform random,4,100,0,19,50,9,1,96,17,57,10,-3.502263694306521
automatic_transmission,"(□_[0.0, 10.0] (speed < 50.0) || ◇_[0.0, 30.0] (2700.0 < RPM))",uniform random,4,100,0,1,50,26,4,26,4,26,4,-3.9491381065579105

model,property,algorithm,control points,solver,budget,seed,success,tries,min simulations,min time,max simulations,max time,avg simulations,avg time,best robustness
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,4,cmaes,100,0,46,50,22,15,79,56,34,24,-13.148713101463784
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",Breach,4,cmaes,100,0,50,50,2,1,41,29,13,9,-1.0
automatic_transmission,"□_[0.0, 30.0] ((gear == 4.0) ==> (40.0 < speed))",Breach,4,cmaes,100,0,6,50,8,5,49,35,17,12,-1.0
automatic_transmission,"!□_[10.0, 30.0] ((50.0 <= speed) && (speed <= 60.0))",Breach,4,cmaes,100,0,13,50,2,1,78,56,51,36,-3.3534564751578064
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))",Breach,4,cmaes,100,0,14,50,14,10,83,60,53,38,-3.756812561472614
automatic_transmission,"(□_[0.0, 10.0] (speed < 50.0) || ◇_[0.0, 30.0] (2700.0 < RPM))",Breach,4,cmaes,100,0,40,50,7,5,82,60,22,15,-4.392896410083445

model,property,algorithm,control points,solver,budget,seed,success,tries,min simulations,min time,max simulations,max time,avg simulations,avg time,best robustness
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,4,global_nelder_mead,100,0,1,1,57,41,57,41,57,41,-8.58135854410341
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",Breach,4,global_nelder_mead,100,0,1,1,6,4,6,4,6,4,-1.0
